period,location_a,location_b,co_mentions
post_election_upto_forming_government,Dhaka,জয়পুরহাট,2
post_election_upto_forming_government,Dhaka,জামালপুর,2
post_election_upto_forming_government,Dhaka,ঠাকুরগাঁও,2
post_election_upto_forming_government,Dhaka,নওগাঁ,2
post_election_upto_forming_government,Dhaka,নাটোর,2
post_election_upto_forming_government,Dhaka,পিরোজপুর,2
post_election_upto_forming_government,Dhaka,বান্দরবান,2
post_election_upto_forming_government,Dhaka,ব্রাহ্মণবাড়িয়া,2
post_election_upto_forming_government,Dhaka,ভোলা,2
post_election_upto_forming_government,Dhaka,মানিকগঞ্জ,2
post_election_upto_forming_government,Dhaka,রাজবাড়ী,2
post_election_upto_forming_government,Dhaka,লক্ষ্মীপুর,2
post_election_upto_forming_government,Faridpur,Gazipur,2
post_election_upto_forming_government,Gazipur,Kishoreganj,2
post_election_upto_forming_government,Gazipur,Madaripur,2
post_election_upto_forming_government,Gazipur,Sirajganj,2
post_election_upto_forming_government,Gazipur,Tangail,2
post_election_upto_forming_government,Gazipur,দিনাজপুর,2
post_election_upto_forming_government,Jamalpur,Mymensingh,2
post_election_upto_forming_government,Jamalpur,Tangail,2
post_election_upto_forming_government,Jashore,যশোর,2
post_election_upto_forming_government,Jessore,Magura,2
post_election_upto_forming_government,Jessore,যশোর,2
post_election_upto_forming_government,Jhenaidah,Khulna,2
post_election_upto_forming_government,Joypurhat,Rajshahi,2
post_election_upto_forming_government,Khulna,Rajshahi,2
post_election_upto_forming_government,Khulna,সাতক্ষীরা,2
post_election_upto_forming_government,Kurigram,Panchagarh,2
post_election_upto_forming_government,Lakshmipur,Noakhali,2
post_election_upto_forming_government,Moulvibazar,মৌলভীবাজার,2
post_election_upto_forming_government,Mymensingh,Narayanganj,2
post_election_upto_forming_government,Mymensingh,কিশোরগঞ্জ,2
post_election_upto_forming_government,Nilphamari,নীলফামারী,2
post_election_upto_forming_government,Rajshahi,Sirajganj,2
post_election_upto_forming_government,Rajshahi,নওগাঁ,2
post_election_upto_forming_government,Rajshahi,নরসিংদী,2
post_election_upto_forming_government,Rangpur,Sylhet,2
post_election_upto_forming_government,Rangpur,Thakurgaon,2
post_election_upto_forming_government,Rangpur,বগুড়া,2
post_election_upto_forming_government,Sunamganj,সুনামগঞ্জ,2
post_election_upto_forming_government,Sylhet,নরসিংদী,2
post_election_upto_forming_government,বগুড়া,ময়মনসিংহ,2
post_election_upto_forming_government,Bagerhat,Jhenaidah,1
post_election_upto_forming_government,Bagerhat,Rajshahi,1
post_election_upto_forming_government,Bagerhat,গোপালগঞ্জ,1
post_election_upto_forming_government,Bagerhat,পিরোজপুর,1
post_election_upto_forming_government,Bandarban,Barishal,1
post_election_upto_forming_government,Bandarban,Cox's Bazar,1
post_election_upto_forming_government,Bandarban,Dhaka,1
post_election_upto_forming_government,Barguna,Khulna,1
post_election_upto_forming_government,Barguna,Patuakhali,1
post_election_upto_forming_government,Barishal,Bogura,1
post_election_upto_forming_government,Barishal,Chandpur,1
post_election_upto_forming_government,Barishal,Chapainawabganj,1
post_election_upto_forming_government,Barishal,Jamalpur,1
post_election_upto_forming_government,Barishal,Jessore,1
